Transaction_ID,Age,Gender,Country,Loyalty_Member,Purpose_of_Travel,Booking_Channel,Number_Previous_Stays,Lead_Time_Days,Length_of_Stay,Room_Type,Check_in_Month,Number_Guests,Avg_Daily_Rate,Preferred_Amenities,Special_Requests,Services_Used,Basket_Items,Overall_Satisfaction,Would_Recommend,Total_Revenue,Room_Demand_Indicator,Upselling_Success
T100000,43,Male,USA,No,Leisure,Phone,2,55,6,Suite,Feb,2,374.21,WiFi;Breakfast;Parking,None,Room service;Laundry;Mini-bar,"[Room service, Laundry, Mini-bar]",4,Yes,2365.26,0,No
T100001,36,Male,USA,Yes,Business,Website,9,3,5,Deluxe,Jan,2,181.72,WiFi;Pool;Breakfast;Parking,None,Room service;Laundry;Restaurant,"[Room service, Laundry, Restaurant]",3,Yes,1048.6,0,No
T100002,45,Female,Canada,Yes,Business,Website,5,10,4,Suite,May,2,361.12,WiFi;Breakfast;Parking,Extra pillows,Room service;Laundry;Spa;Gym;Restaurant;Mini-bar,"[Room service, Laundry, Spa, Gym, Restaurant, Mini-bar]",3,No,1724.48,0,No
T100003,56,Male,Italy,No,Business,Phone,0,7,2,Deluxe,May,1,199.52,WiFi;Gym;Breakfast;Restaurant;Parking,None,Room service;Breakfast,"[Room service, Breakfast]",3,No,519.04,0,Yes
T100004,35,Male,Canada,Yes,Leisure,App,7,8,8,Standard,Feb,3,117.82,WiFi;Pool;Breakfast;Spa;Restaurant,High floor,Room service;Breakfast,"[Room service, Breakfast]",4,No,1062.56,0,Yes
T100005,35,Female,India,Yes,Business,Website,10,3,4,Standard,Aug,2,137.53,WiFi;Breakfast,Late check-out,Gym;Breakfast,"[Gym, Breakfast]",3,No,570.12,1,No
T100006,56,Female,UK,No,Business,App,2,2,2,Standard,Dec,2,158.11,Gym;Restaurant;Parking,High floor,Room service;Spa;Breakfast,"[Room service, Spa, Breakfast]",4,Yes,486.22,1,No
T100007,47,Male,Italy,No,Leisure,Agent,1,35,7,Standard,Dec,3,141.06,WiFi;Pool;Breakfast;Restaurant;Parking,None,Room service;Laundry;Spa;Gym;Breakfast,"[Room service, Laundry, Spa, Gym, Breakfast]",2,No,1187.42,1,No
T100008,32,Female,India,Yes,Business,Website,7,6,8,Standard,Apr,2,126.93,WiFi;Gym;Breakfast;Parking,Early check-in,Room service;Laundry;Breakfast,"[Room service, Laundry, Breakfast]",3,No,1165.44,0,Yes
T100009,44,Male,UK,Yes,Business,Phone,4,5,3,Standard,Oct,1,113.05,WiFi;Breakfast;Parking,None,Room service;Laundry;Gym;Restaurant,"[Room service, Laundry, Gym, Restaurant]",4,Yes,529.15,0,Yes
T100010,32,Female,UK,Yes,Other,Agent,7,53,5,Deluxe,Dec,2,227.86,WiFi;Pool;Gym;Restaurant;Parking,None,Room service;Spa;Gym;Breakfast,"[Room service, Spa, Gym, Breakfast]",4,Yes,1359.3,1,Yes
T100011,32,Female,USA,No,Business,Website,0,2,3,Standard,Dec,2,145.97,WiFi;Breakfast;Restaurant;Parking,Extra pillows,Room service;Restaurant;Breakfast,"[Room service, Restaurant, Breakfast]",2,Yes,567.91,1,No
T100012,40,Female,UK,Yes,Leisure,Agent,9,3,5,Standard,Nov,1,108.1,WiFi;Breakfast;Restaurant;Parking,Extra pillows,Room service;Spa;Breakfast,"[Room service, Spa, Breakfast]",3,No,760.5,0,Yes
T100013,18,Male,India,Yes,Business,Website,8,3,3,Standard,Oct,1,108.42,WiFi;Gym;Breakfast,Late check-out,Gym;Restaurant,"[Gym, Restaurant]",3,Yes,435.26,0,Yes
T100014,18,Male,Germany,No,Business,Website,0,3,2,Deluxe,May,1,185.69,WiFi;Gym;Parking,None,Room service;Gym;Breakfast,"[Room service, Gym, Breakfast]",5,Yes,491.38,0,Yes
T100015,31,Male,USA,No,Business,Agent,0,9,3,Suite,Feb,1,377.85,WiFi;Gym;Breakfast;Restaurant;Parking,None,Laundry;Spa;Restaurant;Breakfast,"[Laundry, Spa, Restaurant, Breakfast]",5,Yes,1343.55,0,No
T100016,25,Male,UK,Yes,Business,Phone,10,12,5,Deluxe,Jul,2,241.34,Breakfast;Parking,None,Laundry;Spa;Gym,"[Laundry, Spa, Gym]",4,No,1336.7,1,No
T100017,41,Male,France,No,Business,Website,1,4,3,Standard,Jan,2,124.47,WiFi;Gym;Breakfast,Early check-in,Spa;Gym;Restaurant;Mini-bar;Breakfast,"[Spa, Gym, Restaurant, Mini-bar, Breakfast]",4,No,643.41,0,Yes
T100018,27,Female,USA,No,Leisure,App,2,33,6,Standard,Dec,1,138.58,WiFi;Gym;Breakfast;Spa;Restaurant,None,Room service;Laundry;Spa;Gym;Restaurant;Mini-bar,"[Room service, Laundry, Spa, Gym, Restaurant, Mini-bar]",2,No,1111.48,1,No
T100019,21,Male,India,No,Business,App,1,16,1,Deluxe,Jun,1,227.48,WiFi;Restaurant,High floor,Restaurant;Mini-bar;Breakfast,"[Restaurant, Mini-bar, Breakfast]",4,Yes,397.48,1,Yes
T100020,55,Male,France,No,Business,Website,0,11,2,Standard,Dec,1,153.3,WiFi;Breakfast;Spa;Parking,None,Laundry;Breakfast,"[Laundry, Breakfast]",2,No,356.6,1,No
T100021,35,Female,USA,Yes,Business,Website,9,1,4,Suite,Oct,2,373.02,WiFi;Gym;Breakfast;Restaurant,Late check-out,Restaurant,[Restaurant],3,No,1552.08,0,No
T100022,38,Male,USA,No,Leisure,Website,0,40,6,Standard,Jun,2,149.14,WiFi;Restaurant,None,Room service;Spa;Gym;Restaurant;Mini-bar;Breakfast,"[Room service, Spa, Gym, Restaurant, Mini-bar, Breakfast]",3,Yes,1164.84,1,No
T100023,20,Female,China,No,Business,App,3,11,4,Standard,Feb,1,130.35,WiFi;Gym;Breakfast;Spa;Parking,Late check-out,Gym;Mini-bar;Breakfast,"[Gym, Mini-bar, Breakfast]",3,No,581.4,0,No
T100024,31,Male,India,No,Business,Website,1,8,5,Standard,Apr,2,113.57,Gym;Restaurant,None,Room service;Restaurant,"[Room service, Restaurant]",3,Yes,727.85,0,Yes
T100025,39,Male,China,No,Business,Website,0,10,4,Deluxe,Aug,1,220.17,WiFi;Pool;Gym;Breakfast,High floor,Laundry;Gym;Restaurant;Breakfast,"[Laundry, Gym, Restaurant, Breakfast]",3,No,1040.68,1,Yes
T100026,24,Male,France,No,Business,Agent,1,28,8,Standard,Nov,1,131.51,WiFi;Breakfast;Restaurant,Extra pillows,Room service;Gym,"[Room service, Gym]",3,No,1102.08,0,No
T100027,42,Male,USA,Yes,Business,Agent,7,4,2,Standard,Dec,1,137.4,WiFi,Early check-in,Laundry;Mini-bar;Breakfast,"[Laundry, Mini-bar, Breakfast]",2,Yes,364.8,1,No
T100028,30,Female,China,No,Leisure,App,1,47,5,Standard,Feb,3,114.62,WiFi;Gym;Spa,Extra pillows,Restaurant,[Restaurant],4,Yes,633.1,0,No
T100029,34,Male,China,No,Business,Website,0,5,1,Standard,Mar,2,119.61,WiFi;Gym;Breakfast;Restaurant,High floor,Room service;Laundry;Gym;Breakfast,"[Room service, Laundry, Gym, Breakfast]",2,Yes,219.61,0,No
T100030,30,Male,USA,No,Business,App,0,1,4,Suite,Jan,1,378.48,WiFi;Gym;Breakfast;Parking,None,Laundry;Spa;Restaurant;Mini-bar;Breakfast,"[Laundry, Spa, Restaurant, Mini-bar, Breakfast]",4,Yes,1763.92,0,No
T100031,60,Male,Australia,Yes,Business,Website,3,3,5,Standard,Apr,1,131.83,WiFi;Breakfast;Parking,Late check-out,Room service;Laundry;Gym;Restaurant;Mini-bar;Breakfast,"[Room service, Laundry, Gym, Restaurant, Mini-bar, Breakfast]",3,Yes,909.15,0,Yes
T100032,37,Male,UK,No,Leisure,Website,0,128,4,Standard,Nov,3,109.03,WiFi;Pool;Gym;Breakfast;Spa,None,Room service;Spa,"[Room service, Spa]",2,No,586.12,0,No
T100033,25,Female,China,No,Business,App,1,3,2,Standard,Mar,1,118.84,WiFi;Gym;Breakfast;Restaurant;Parking,None,Laundry;Restaurant,"[Laundry, Restaurant]",3,Yes,327.68,0,No
T100034,47,Male,USA,Yes,Business,Website,9,9,4,Standard,Jul,1,145.39,WiFi;Pool;Parking,None,Room service;Restaurant;Mini-bar,"[Room service, Restaurant, Mini-bar]",4,No,781.56,1,Yes
T100035,23,Female,China,No,Business,Website,1,13,6,Standard,Jun,1,143.05,WiFi;Gym;Breakfast;Restaurant;Parking,Late check-out,Room service;Breakfast,"[Room service, Breakfast]",3,No,928.3,1,No
T100036,40,Female,India,No,Business,Website,0,4,7,Standard,May,2,120.49,WiFi;Gym;Breakfast;Spa;Restaurant;Parking,None,Room service,[Room service],4,Yes,943.43,0,Yes
